event_date,event_type,bin,address,bbl,record_id,category_or_type,origin,ref_311,severity,status_or_disposition,amount,penalty_imposed,penalty_paid,balance_due,respondent_or_owner,description,inspector_comments,source_table
2019-09-19,work_permit_issued,1037552,235 E 42 ST,1013160023,M00196693-I1-MS,Mechanical Systems (Initial Permit),applicant,,,Signed-off,325000.06,,,,PFIZER GLOBAL OPERATIONS,Replacement of HVAC diffusers in building lobby as shown on drawings submitted herewith.,,permits
2019-09-24,work_permit_issued,1037552,235 E 42 ST,1013160023,M00197479-I1-EW-SP,Sprinklers (Initial Permit),applicant,,,Signed-off,189975.0,,,,PFIZER GLOBAL OPERATIONS,Removal and installation of sprinklers in first floor lobby as shown on plans filed herewith.,,permits
2019-10-10,work_permit_issued,1037552,235 E 42 ST,1013160023,M00196745-I1-PL,Plumbing (Initial Permit),applicant,,,Signed-off,99999.96,,,,PFIZER GLOBAL OPERATIONS,Installation of plumbing piping and fixtures on partial ground floor lobby.,,permits
2019-10-15,permit_job_filed,1037552,235 E 42 ST,1013160023,M00246075-I1,Alteration,applicant,,,LOC Issued,1.0,,,,SPRING SCAFFOLDING LLC,Alteration filing; initial cost $1; dwelling units 0 -> 0; approved -; first permit 2019-10-16; signoff 2020-02-26,,permits_now
2019-10-16,work_permit_issued,1037552,235 E 42 ST,1013160023,M00246075-I1-SH,Sidewalk Shed (Initial Permit),applicant,,,Signed-off,1.0,,,,SPRING SCAFFOLDING LLC,"INSTALLATION OF SIDEWALK SHED AS PER PLANS. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",,permits
2019-11-27,permit_job_filed,1037552,235 E 42 ST,1013160023,M00272458-I1,No Work,applicant,,,TA Certificate of Operation Issued,0.0,,,,,No Work filing; initial cost $0; dwelling units nan -> nan; approved 2019-12-02; first permit -; signoff -,,permits_now
2019-11-28,permit_job_filed,1037551,219 E 42 ST,1013160012,M00273431-I1,No Work,applicant,,,TA Certificate of Operation Issued,0.0,,,,,No Work filing; initial cost $0; dwelling units nan -> nan; approved 2019-12-03; first permit -; signoff -,,permits_now
2019-12-02,permit_job_filed,1037551,219 E 42 ST,1013160012,M00187371-I1,Alteration,applicant,,,LOC Issued,25000.0,,,,PFIZER GLOBAL OPERATIONS,"Alteration filing; initial cost $25,000; dwelling units 0 -> 0; approved 2019-12-13; first permit 2020-09-17; signoff 2021-05-04",,permits_now
2020-02-11,permit_job_filed,1037552,235 E 42 ST,1013160023,M00313173-I1,No Work,applicant,,,TA Certificate of Operation Issued,0.0,,,,,No Work filing; initial cost $0; dwelling units nan -> nan; approved 2020-02-13; first permit -; signoff -,,permits_now
2020-09-17,work_permit_issued,1037551,219 E 42 ST,1013160012,M00187371-I1-MS,Mechanical Systems (Initial Permit),applicant,,,Signed-off,25000.0,,,,PFIZER GLOBAL OPERATIONS,Modification of ducts and relocation of 14 diffusers on partial basement & 1st floors,,permits
2021-08-17,complaint,1037551,219 E 42 ST,1013160012,1579702,1L GAS UTILITY REFERRAL,agency,,D,01/03/2022 - I2 - NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,,,,,,UTILITY FOUND ILLEGAL PIPING.UTILITY LOCKED METER,GAS PIPING AND GENERATOR IS COVERED UNDER PERMIT # 103812929 AND GAS IS ALSO LOCKED OFF AT MAIN SERVICE VALVE FOR GENERATOR FOR BUILDING AT TIME OF INSPECTION,open_data+bis_scrape
2021-12-01,safety_violation,1037551,219 E 42 ST,1013160012,120121EGRADE2100737,Energy Grade - LL33 (FTP-EN-EGRDEA),dob_program,,,Dismissed,,,,,,,,dob_safety_violations
2021-12-01,safety_violation,1037552,235 E 42 ST,1013160023,120121EGRADE2100738,Energy Grade - LL33 (FTP-EN-EGRDEA),dob_program,,,Dismissed,,,,,,,,dob_safety_violations
2022-10-21,permit_job_filed,1037551,219 E 42 ST,1013160012,M08014150-I1,Alteration,applicant,,,LOC Issued,214994.92,,,,PFIZER GLOBAL OPERATIONS,"Alteration filing; initial cost $214,995; dwelling units 0 -> 0; approved 2022-10-27; first permit 2022-10-31; signoff 2023-02-01",,permits_now
2022-10-31,work_permit_issued,1037551,219 E 42 ST,1013160012,M08014150-I1-GC,General Construction (Initial Permit),applicant,,,Signed-off,214994.92,,,,PFIZER GLOBAL OPERATIONS,General construction to repair facade features as shown on drawings submitted.,,permits
2022-11-01,permit_job_filed,1037551,219 E 42 ST,1013160012,M08028351-I1,Alteration,applicant,,,LOC Issued,5000.0,,,,SPRING SCAFFOLDING LLC,"Alteration filing; initial cost $5,000; dwelling units 1 -> 1; approved -; first permit 2022-11-02; signoff 2023-01-12",,permits_now
2022-11-02,work_permit_issued,1037551,219 E 42 ST,1013160012,M08028351-I1-SH,Sidewalk Shed (Initial Permit),applicant,,,Signed-off,5000.0,,,,SPRING SCAFFOLDING LLC,"INSTALLATION OF 300PSF SIDEWALK SHED AS PER PLANS. SIDEWALK SHED SHALL COMPLY WITH CHAPTER #33 OF THE 2014 CODE. NO CHANGE IN USE, EGRESS OR OCCUPANCY UNDER THIS APPLICATION.",,permits
2022-12-09,ecb_violation,1037551,219 E 42 ST,1013160012,37024876L,Local Law,dob_enforcement,,CLASS - 2,RESOLVE / CURED/IN-VIO,,0.0,0.0,0.0,ARE-NY REGION NO 1 LLC C/,FAILURE TO SUBMIT ACCEPTABLE REQUIRED CYCLE 9A REPORT OF CRITICAL EXAMINATION DOCUMENTING CONDITION OF EXTERIOR WALL & APPURTENANCES REQUIRED BY 28-302.4 FOR CONTROL #904558.REMEDY:SUBMIT ACCEPTABLE REQUIRED TE,,ecb_violations
2023-08-11,safety_violation,1037552,235 E 42 ST,1013160023,VIO-FTF-VT-CAT1-201812-0005332,Elevators (FTF-VT-CAT1-CO),dob_program,,,Dismissed,,,,,,,,dob_safety_violations
2023-08-11,safety_violation,1037552,235 E 42 ST,1013160023,VIO-FTF-VT-CAT1-201812-0005333,Elevators (FTF-VT-CAT1-CO),dob_program,,,Dismissed,,,,,,,,dob_safety_violations
2023-08-11,safety_violation,1037552,235 E 42 ST,1013160023,VIO-FTF-VT-CAT1-201812-0005334,Elevators (FTF-VT-CAT1-CO),dob_program,,,Dismissed,,,,,,,,dob_safety_violations
2023-08-11,safety_violation,1037552,235 E 42 ST,1013160023,VIO-FTF-VT-CAT1-201812-0005337,Elevators (FTF-VT-CAT1-CO),dob_program,,,Dismissed,,,,,,,,dob_safety_violations
2023-10-02,safety_violation,1037551,219 E 42 ST,1013160012,VIO-FTC-VT-PER-202212-0016321,Elevators (FTC-VT-PER-CO),dob_program,,,Dismissed,,,,,,,,dob_safety_violations
2024-06-17,permit_job_filed,1037551,219 E 42 ST,1013160012,M01060280-I1,Alteration,applicant,,,Permit Entire,300000.0,,,,219 GC LLC,"Alteration filing; initial cost $300,000; dwelling units 0 -> 0; approved 2024-06-18; first permit 2024-06-21; signoff -",,permits_now
2024-06-17,permit_job_filed,1037551,219 E 42 ST,1013160012,M01060280-S1,Alteration,applicant,,,LOC Issued,30000.0,,,,219 GC LLC,"Alteration filing; initial cost $30,000; dwelling units 0 -> 0; approved 2024-06-17; first permit 2024-06-21; signoff 2026-03-16",,permits_now
2024-06-17,permit_job_filed,1037551,219 E 42 ST,1013160012,M01060280-S2,Alteration,applicant,,,Permit Entire,20000.0,,,,219 GC LLC,"Alteration filing; initial cost $20,000; dwelling units 0 -> 0; approved 2024-06-17; first permit 2024-08-26; signoff -",,permits_now
2024-06-17,permit_job_filed,1037552,235 E 42 ST,1013160023,M01060633-I1,Alteration,applicant,,,LOC Issued,750000.0,,,,235 GC LLC,"Alteration filing; initial cost $750,000; dwelling units 0 -> 0; approved 2024-06-18; first permit 2024-06-21; signoff 2026-06-03",,permits_now
2024-06-17,permit_job_filed,1037552,235 E 42 ST,1013160023,M01060633-S1,Alteration,applicant,,,Permit Entire,50000.0,,,,235 GC LLC,"Alteration filing; initial cost $50,000; dwelling units 0 -> 0; approved 2024-06-17; first permit 2024-06-21; signoff -",,permits_now
2024-06-17,permit_job_filed,1037552,235 E 42 ST,1013160023,M01060633-S2,Alteration,applicant,,,Permit Entire,25000.0,,,,235 GC LLC,"Alteration filing; initial cost $25,000; dwelling units 0 -> 0; approved 2024-06-18; first permit 2024-08-23; signoff -",,permits_now
2024-06-21,work_permit_issued,1037551,219 E 42 ST,1013160012,M01060280-I1-GC,General Construction (Initial Permit),applicant,,,Signed-off,300000.0,,,,219 GC LLC,General demolition as shown on the plans.,,permits
2024-06-21,work_permit_issued,1037551,219 E 42 ST,1013160012,M01060280-S1-MS,Mechanical Systems (Initial Permit),applicant,,,Signed-off,30000.0,,,,219 GC LLC,Mechanical work as shown on the plans.,,permits
2024-06-21,work_permit_issued,1037552,235 E 42 ST,1013160023,M01060633-I1-GC,General Construction (Initial Permit),applicant,,,Signed-off,750000.0,,,,235 GC LLC,General demolition as shown on the plans.,,permits
2024-06-21,work_permit_issued,1037552,235 E 42 ST,1013160023,M01060633-S1-MS,Mechanical Systems (Initial Permit),applicant,,,Permit Issued,50000.0,,,,235 GC LLC,Mechanical work as shown on the plans.,,permits
2024-07-03,permit_job_filed,1037551,219 E 42 ST,1013160012,M01075131-I1,ALT-CO - New Building with Existing Elements to Remain,applicant,,,Permit Entire,96400000.0,,,,219 GC LLC,"ALT-CO - New Building with Existing Elements to Remain filing; initial cost $96,400,000; dwelling units 0 -> 481; approved 2025-05-02; first permit 2025-05-29; signoff -",,permits_now
2024-07-03,permit_job_filed,1037552,235 E 42 ST,1013160023,M01075133-I1,Alteration CO,applicant,,,Permit Entire,98700000.0,,,,235 GC LLC,"Alteration CO filing; initial cost $98,700,000; dwelling units 0 -> 927; approved 2025-05-23; first permit 2025-05-30; signoff -",,permits_now
2024-07-09,deed,1037551,219 E 42 ST,1013160012,2024082101016001,DEED,acris,,,,60000000.0,,,,219 OWNER LLC,Property sale recorded; grantee 219 OWNER LLC,,acris_master/acris_legals
2024-07-12,permit_job_filed,1037551,219 E 42 ST,1013160012,M01060280-S3,Alteration,applicant,,,Permit Entire,20000.0,,,,219 GC LLC,"Alteration filing; initial cost $20,000; dwelling units 0 -> 0; approved 2024-07-16; first permit 2024-08-22; signoff -",,permits_now
2024-07-12,permit_job_filed,1037551,219 E 42 ST,1013160012,M01060280-S4,Alteration,applicant,,,Permit Entire,65000.0,,,,219 GC LLC,"Alteration filing; initial cost $65,000; dwelling units 0 -> 0; approved 2024-07-12; first permit 2024-08-27; signoff -",,permits_now
2024-07-12,permit_job_filed,1037552,235 E 42 ST,1013160023,M01060633-S3,Alteration,applicant,,,Permit Entire,25000.0,,,,235 GC LLC,"Alteration filing; initial cost $25,000; dwelling units 0 -> 0; approved 2024-07-16; first permit 2024-08-23; signoff -",,permits_now
2024-07-12,permit_job_filed,1037552,235 E 42 ST,1013160023,M01060633-S4,Alteration,applicant,,,Permit Entire,75000.0,,,,235 GC LLC,"Alteration filing; initial cost $75,000; dwelling units 0 -> 0; approved 2024-07-12; first permit 2024-09-09; signoff -",,permits_now
2024-08-14,permit_job_filed,1037551,219 E 42 ST,1013160012,M01089006-I1,Alteration,applicant,,,Permit Entire,45000.0,,,,219 GC LLC,"Alteration filing; initial cost $45,000; dwelling units 0 -> 0; approved 2024-08-15; first permit 2024-09-26; signoff -",,permits_now
2024-08-22,work_permit_issued,1037551,219 E 42 ST,1013160012,M01060280-S3-EW-SP,Standpipe (Initial Permit),applicant,,,Permit Issued,20000.0,,,,219 GC LLC,Demolition of sprinkler/standpipe system as shown.,,permits
2024-08-22,work_permit_issued,1037551,219 E 42 ST,1013160012,M01060280-S3-EW-SP,Sprinklers (Initial Permit),applicant,,,Permit Issued,20000.0,,,,219 GC LLC,Demolition of sprinkler/standpipe system as shown.,,permits
2024-08-23,work_permit_issued,1037552,235 E 42 ST,1013160023,M01060633-S2-PL,Plumbing (Initial Permit),applicant,,,Permit Issued,25000.0,,,,235 GC LLC,Plumbing work as shown.,,permits
2024-08-23,work_permit_issued,1037552,235 E 42 ST,1013160023,M01060633-S3-EW-SP,Standpipe (Initial Permit),applicant,,,Permit Issued,25000.0,,,,235 GC LLC,Demolition of sprinkler/standpipe system as shown.,,permits
2024-08-23,work_permit_issued,1037552,235 E 42 ST,1013160023,M01060633-S3-EW-SP,Sprinklers (Initial Permit),applicant,,,Permit Issued,25000.0,,,,235 GC LLC,Demolition of sprinkler/standpipe system as shown.,,permits
2024-08-26,permit_job_filed,1037551,219 E 42 ST,1013160012,M01101442-I1,Alteration,applicant,,,LOC Issued,26000.0,,,,219 GC LLC,"Alteration filing; initial cost $26,000; dwelling units 1 -> 1; approved -; first permit 2024-08-27; signoff 2025-07-28",,permits_now
2024-08-26,work_permit_issued,1037551,219 E 42 ST,1013160012,M01060280-S2-PL,Plumbing (Initial Permit),applicant,,,Signed-off,20000.0,,,,219 GC LLC,Plumbing work as shown.,,permits
2024-08-27,work_permit_issued,1037551,219 E 42 ST,1013160012,M01060280-S4-EW-SD,Standpipe (Initial Permit),applicant,,,Permit Issued,65000.0,,,,219 GC LLC,Conversion to a temporary dry standpipe.,,permits
2024-08-27,work_permit_issued,1037551,219 E 42 ST,1013160012,M01101442-I1-SF,Supported Scaffold (Initial Permit),applicant,,,Signed-off,26000.0,,,,219 GC LLC,"INSTALLATION OF PIPE SCAFFOLDING AS PER PLANS.  PIPE SCAFFOLD SHALL COMPLY WITH CHAPTER #33 OF THE 2022 CODE. NO CHANGE IN USE, EGRESS OR OCCUPANCY UNDER THIS APPLICATION.",,permits
2024-09-09,work_permit_issued,1037552,235 E 42 ST,1013160023,M01060633-S3-EW-SD,Sprinklers (Initial Permit),applicant,,,Permit Issued,25000.0,,,,235 GC LLC,Demolition of sprinkler/standpipe system as shown.,,permits
2024-09-09,work_permit_issued,1037552,235 E 42 ST,1013160023,M01060633-S3-EW-SD,Standpipe (Initial Permit),applicant,,,Permit Issued,25000.0,,,,235 GC LLC,Demolition of sprinkler/standpipe system as shown.,,permits
2024-09-09,work_permit_issued,1037552,235 E 42 ST,1013160023,M01060633-S4-EW-SD,Standpipe (Initial Permit),applicant,,,Permit Issued,75000.0,,,,235 GC LLC,Conversion to a temporary dry standpipe.,,permits
2024-09-12,complaint,1037551,219 E 42 ST,1013160012,1677422,83 CONSTRUCTION - CONTRARY/BEYOND APPROVED PLANS/PERMITS,311,311-20031382,B,09/18/2024 - I2 - NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,,,,,,,At time of inspection observed Interior demo taking place with all safety measures in please. No structure demo observes all permits on site Pre shift and orientation were provided for all workers on-site. No unsafe condition found at time no action necessary,open_data+bis_scrape
2024-09-14,permit_job_filed,1037551,219 E 42 ST,1013160012,M01111013-I1,Alteration,applicant,,,Permit Entire,16000.0,,,,219 GC LLC,"Alteration filing; initial cost $16,000; dwelling units 1 -> 1; approved -; first permit 2024-09-16; signoff -",,permits_now
2024-09-14,permit_job_filed,1037552,235 E 42 ST,1013160023,M01111022-I1,Alteration,applicant,,,Permit Entire,21000.0,,,,235 GC LLC,"Alteration filing; initial cost $21,000; dwelling units 1 -> 1; approved -; first permit 2024-09-16; signoff -",,permits_now
2024-09-16,work_permit_issued,1037551,219 E 42 ST,1013160012,M01111013-I1-FN,Construction Fence (Initial Permit),applicant,,,Permit Issued,16000.0,,,,219 GC LLC,"INSTALLATION OF 8' HIGH TEMPORARY CONSTRUCTION PLYWOOD FENCE ENCLOSURE AS PER PLANS DURING CONSTRUCTION. NO CHANGE IN USE, EGRESS OR OCCUPANCY. FENCE SHALL COMPLY WITH CHAPTER 33 OF NYC BUILDING CODE OF 2022.",,permits
2024-09-16,work_permit_issued,1037552,235 E 42 ST,1013160023,M01111022-I1-FN,Construction Fence (Initial Permit),applicant,,,Permit Issued,21000.0,,,,235 GC LLC,"INSTALLATION OF 8' HIGH TEMPORARY CONSTRUCTION PLYWOOD FENCE ENCLOSURE AS PER PLANS DURING CONSTRUCTION. NO CHANGE IN USE, EGRESS OR OCCUPANCY. FENCE SHALL COMPLY WITH CHAPTER 33 OF NYC BUILDING CODE OF 2022.",,permits
2024-09-23,permit_job_filed,1037551,219 E 42 ST,1013160012,M01088411-I1,Alteration,applicant,,,Permit Entire,20400.0,,,,219 GC LLC,"Alteration filing; initial cost $20,400; dwelling units 1 -> 1; approved -; first permit 2024-09-23; signoff -",,permits_now
2024-09-23,permit_job_filed,1037552,235 E 42 ST,1013160023,M01088413-I1,Alteration,applicant,,,Permit Entire,20400.0,,,,235 GC LLC,"Alteration filing; initial cost $20,400; dwelling units 1 -> 1; approved -; first permit 2024-09-23; signoff -",,permits_now
2024-09-23,permit_job_filed,1037551,219 E 42 ST,1013160012,M01103050-I1,Alteration,applicant,,,Permit Entire,20400.0,,,,219 GC LLC,"Alteration filing; initial cost $20,400; dwelling units 1 -> 1; approved -; first permit 2024-09-23; signoff -",,permits_now
2024-09-23,permit_job_filed,1037552,235 E 42 ST,1013160023,M01114689-I1,Alteration,applicant,,,Permit Entire,20400.0,,,,235 GC LLC,"Alteration filing; initial cost $20,400; dwelling units 1 -> 1; approved -; first permit 2024-09-23; signoff -",,permits_now
2024-09-23,work_permit_issued,1037551,219 E 42 ST,1013160012,M01088411-I1-PMM,Protection and Mechanical Methods (Initial Permit),applicant,,,Permit Issued,20400.0,,,,219 GC LLC,"INSTALLATION OF 7,100 LB DUAL PERSONNEL/MATERIAL HOIST CARS @ SOUTH  COURTYARD AS PER PLANS DURING CONSTRUCTION. HOIST SHALL COMPLY WITH CHAPTER #33 OF THE 2022 CODE. NO CHANGE IN USE, EGRESS OR OCCUPANCY UNDER THIS APPLICATION.",,permits
2024-09-23,work_permit_issued,1037552,235 E 42 ST,1013160023,M01088413-I1-PMM,Protection and Mechanical Methods (Initial Permit),applicant,,,Permit Issued,20400.0,,,,235 GC LLC,"INSTALLATION OF 7,000 LB DUAL PERSONNEL/MATERIAL HOIST CARS @ NORTH COURTYARD AS PER PLANS DURING CONSTRUCTION. HOIST SHALL COMPLY WITH CHAPTER #33 OF THE 2022 CODE. NO CHANGE IN USE, EGRESS OR OCCUPANCY UNDER THIS APPLICATION.",,permits
2024-09-23,work_permit_issued,1037551,219 E 42 ST,1013160012,M01103050-I1-PMM,Protection and Mechanical Methods (Initial Permit),applicant,,,Permit Issued,20400.0,,,,219 GC LLC,"INSTALLATION OF DUAL PERSONNEL/MATERIAL HOIST CARS @ NORTH COURTYARD (7,000 LB &  7,100 LB CAPACITIES) AS PER PLANS DURING CONSTRUCTION. HOIST SHALL COMPLY WITH CHAPTER #33 OF THE 2022 CODE. NO CHANGE IN USE, EGRESS OR OCCUPANCY UNDER THIS APPLICATION.",,permits
2024-09-23,work_permit_issued,1037552,235 E 42 ST,1013160023,M01114689-I1-PMM,Protection and Mechanical Methods (Initial Permit),applicant,,,Permit Issued,20400.0,,,,235 GC LLC,"INSTALLATION OF 7,000 LB DUAL PERSONNEL/MATERIAL HOIST CARS @ SOUTH COURTYARD AS PER PLANS DURING CONSTRUCTION. HOIST SHALL COMPLY WITH CHAPTER #33 OF THE 2022 CODE. NO CHANGE IN USE, EGRESS OR OCCUPANCY UNDER THIS APPLICATION.",,permits
2024-09-26,work_permit_issued,1037551,219 E 42 ST,1013160012,M01089006-I1-GC,General Construction (Initial Permit),applicant,,,Permit Issued,45000.0,,,,219 GC LLC,Partial Masonry removal as shown.,,permits
2024-10-01,permit_job_filed,1037551,219 E 42 ST,1013160012,M01107273-I1,Alteration,applicant,,,LOC Issued,300000.0,,,,219 GC LLC,"Alteration filing; initial cost $300,000; dwelling units 0 -> 0; approved 2024-10-21; first permit 2025-01-24; signoff 2026-03-16",,permits_now
2024-10-03,permit_job_filed,1037551,219 E 42 ST,1013160012,M01107273-S1,Alteration,applicant,,,LOC Issued,200000.0,,,,219 GC LLC,"Alteration filing; initial cost $200,000; dwelling units 0 -> 0; approved 2024-10-08; first permit 2025-04-04; signoff 2026-03-16",,permits_now
2024-10-11,safety_violation,1037551,219 E 42 ST,1013160012,VIO-FTC-VT-CAT1-202312-0013819,Elevators (FTC-VT-CAT1-CO),dob_program,,,Dismissed,,,,,,,,dob_safety_violations
2024-10-11,safety_violation,1037552,235 E 42 ST,1013160023,VIO-FTC-VT-CAT1-202312-0017131,Elevators (FTC-VT-CAT1-CO),dob_program,,,Dismissed,,,,,,,,dob_safety_violations
2024-10-11,safety_violation,1037551,219 E 42 ST,1013160012,VIO-FTC-VT-CAT1-202312-0017575,Elevators (FTC-VT-CAT1-CO),dob_program,,,Dismissed,,,,,,,,dob_safety_violations
2024-10-17,permit_job_filed,1037551,219 E 42 ST,1013160012,M01060280-S5,Alteration,applicant,,,Permit Entire,2000000.0,,,,219 GC LLC,"Alteration filing; initial cost $2,000,000; dwelling units 0 -> 0; approved 2024-10-21; first permit 2025-01-30; signoff -",,permits_now
2024-10-17,permit_job_filed,1037551,219 E 42 ST,1013160012,M01060280-S6,Alteration,applicant,,,Permit Entire,1500000.0,,,,219 GC LLC,"Alteration filing; initial cost $1,500,000; dwelling units 0 -> 0; approved 2024-10-21; first permit 2024-11-25; signoff -",,permits_now
2024-10-20,permit_job_filed,1037551,219 E 42 ST,1013160012,M01123510-I1,Alteration,applicant,,,Permit Entire,21000.0,,,,219 GC LLC,"Alteration filing; initial cost $21,000; dwelling units 1 -> 1; approved -; first permit 2024-10-22; signoff -",,permits_now
2024-10-20,permit_job_filed,1037552,235 E 42 ST,1013160023,M01123519-I1,Alteration,applicant,,,On Hold - Pending Supersede of Applicant of Record,26000.0,,,,235 GC LLC,"Alteration filing; initial cost $26,000; dwelling units 1 -> 1; approved -; first permit 2024-10-22; signoff -",,permits_now
2024-10-22,work_permit_issued,1037551,219 E 42 ST,1013160012,M01123510-I1-SH,Sidewalk Shed (Initial Permit),applicant,,,Permit Issued,21000.0,,,,219 GC LLC,"INSTALLATION OF HEAVY DUTY SIDEWALK SHED AS PER PLANS. PART OF SHED WILL BE INSTALLED ON ROADWAY. SHED SHALL COMPLY WITH CHAPTER #33 OF THE 2022 CODE. NO CHANGE IN USE, EGRESS OR OCCUPANCY UNDER THIS APPLICATION",,permits
2024-11-25,work_permit_issued,1037551,219 E 42 ST,1013160012,M01060280-S6-FO,Foundation (Initial Permit),applicant,,,Permit Issued,1500000.0,,,,219 GC LLC,Foundation work as shown on the plans.,,permits
2024-12-01,safety_violation,1037551,219 E 42 ST,1013160012,120124EGRADE2400351,Energy Grade - LL33 (FTP-EN-EGRDEA),dob_program,,,Active,,,,,,,,dob_safety_violations
2024-12-01,safety_violation,1037552,235 E 42 ST,1013160023,120124EGRADE2400352,Energy Grade - LL33 (FTP-EN-EGRDEA),dob_program,,,Dismissed,,,,,,,,dob_safety_violations
2024-12-05,permit_job_filed,1037552,235 E 42 ST,1013160023,M01060633-S5,Alteration,applicant,,,Permit Entire,150000.0,,,,235 GC LLC,"Alteration filing; initial cost $150,000; dwelling units 0 -> 0; approved 2024-12-06; first permit 2025-01-23; signoff -",,permits_now
2024-12-05,permit_job_filed,1037552,235 E 42 ST,1013160023,M01060633-S7,Alteration,applicant,,,LOC Issued,100000.0,,,,235 GC LLC,"Alteration filing; initial cost $100,000; dwelling units 0 -> 0; approved 2024-12-06; first permit 2024-12-13; signoff 2025-12-24",,permits_now
2024-12-13,permit_job_filed,1037552,235 E 42 ST,1013160023,M01060633-S6,Alteration,applicant,,,Permit Entire,100000.0,,,,235 GC LLC,"Alteration filing; initial cost $100,000; dwelling units 0 -> 0; approved 2024-12-16; first permit 2025-04-22; signoff -",,permits_now
2024-12-13,permit_job_filed,1037551,219 E 42 ST,1013160012,M01126216-I1,Alteration,applicant,,,Permit Entire,12000.0,,,,219 GC LLC,"Alteration filing; initial cost $12,000; dwelling units 1 -> 1; approved -; first permit 2024-12-16; signoff -",,permits_now
2024-12-13,permit_job_filed,1037552,235 E 42 ST,1013160023,M01126217-I1,Alteration,applicant,,,Permit Entire,8000.0,,,,235 GC LLC,"Alteration filing; initial cost $8,000; dwelling units 1 -> 1; approved -; first permit 2024-12-16; signoff -",,permits_now
